模块,功能点,子任务/技术要点,优先级,验收标准/备注
创作者工作台,视频上传校验,"1. 文件类型校验（MP4/MOV/AVI/MKV）,P0,文件类型不符时提示""请上传 MP4、MOV、AVI 或 MKV 格式的视频文件""；高光视频时长不符时提示""高光视频时长应为5-10秒"""
创作者工作台,视频上传校验,"2. 文件大小校验,P0,"
创作者工作台,视频上传校验,"3. 高光视频时长校验（5-10秒）,P0,"
创作者工作台,视频上传校验,"4. 错误提示文案,P0,"
创作者工作台,重新上传视频,"1. ""重新上传""按钮（待交付/审核未通过状态）,P0,点击按钮重新上传视频；覆盖后状态更新"
创作者工作台,重新上传视频,"2. 覆盖已上传视频,P0,"
创作者工作台,重新上传视频,"3. 确认弹窗,P0,"
创作者工作台,重新上传视频,"4. 后端接口：PUT /api/bids/:id/videos,P0,"
创作者工作台,查看修改意见,"1. 修改意见展示,P0,修改意见正确展示；未读时高亮显示"
创作者工作台,查看修改意见,"2. 修改时间戳,P0,"
创作者工作台,查看修改意见,"3. 已读/未读状态,P0,"
创作者工作台,查看修改意见,"4. 后端接口：GET /api/bids/:id/feedback,P0,"
创作者工作台,作品集Tab,"1. 作品列表展示,P1,作品列表正确展示；置顶功能限制4个；编辑/删除操作生效"
创作者工作台,作品集Tab,"2. 作品卡片组件,P1,"
创作者工作台,作品集Tab,"3. 上传作品功能,P1,"
创作者工作台,作品集Tab,"4. 编辑/删除作品,P1,"
创作者工作台,作品集Tab,"5. 置顶作品（最多4个）,P1,"
创作者工作台,作品集Tab,"6. 后端接口：GET /api/works/my-works,P1,"
创作者工作台,上传作品,"1. 上传作品按钮,P1,上传后作品列表更新；作品信息完整展示"
创作者工作台,上传作品,"2. 视频上传组件,P1,"
创作者工作台,上传作品,"3. 作品标题输入,P1,"
创作者工作台,上传作品,"4. 作品描述输入,P1,"
创作者工作台,上传作品,"5. 作品标签,P1,"
创作者工作台,上传作品,"6. 后端接口：POST /api/works,P1,"
创作者工作台,置顶作品,"1. 置顶按钮,P1,置顶后作品展示在前面；超过4个时提示""最多只能置顶4个作品"""
创作者工作台,置顶作品,"2. 置顶限制（最多4个）,P1,"
创作者工作台,置顶作品,"3. 超过限制时提示,P1,"
创作者工作台,置顶作品,"4. 取消置顶功能,P1,"
创作者工作台,置顶作品,"5. 后端接口：PUT /api/works/:id/pin,P1,"
创作者工作台,消息中心Tab,"1. 消息列表,P1,消息列表正确展示；未读消息高亮；标记已读后状态更新"
创作者工作台,消息中心Tab,"2. 消息状态（已读/未读）,P1,"
创作者工作台,消息中心Tab,"3. 消息类型（系统通知/审核通知/修改通知）,P1,"
创作者工作台,消息中心Tab,"4. 标记已读/删除操作,P1,"
创作者工作台,消息中心Tab,"5. 后端接口：GET /api/messages,P1,"
创作者工作台,收入管理Tab,"1. 收入统计卡片（总收入/可提现/冻结中）,P1,收入统计正确；交易记录按时间倒序；提现功能可用"
创作者工作台,收入管理Tab,"2. 交易记录列表,P1,"
创作者工作台,收入管理Tab,"3. 提现按钮,P1,"
创作者工作台,收入管理Tab,"4. 提现规则说明,P1,"
创作者工作台,收入管理Tab,"5. 后端接口：GET /api/creators/earnings,P1,"
创作者工作台,用户信息区,"1. 用户头像+名称,P0,用户信息正确展示；等级徽章根据完成订单数显示"
创作者工作台,用户信息区,"2. 等级徽章（青铜/白银/黄金/铂金）,P0,"
创作者工作台,用户信息区,"3. 完成订单数,P0,"
创作者工作台,用户信息区,"4. 评分展示,P0,"
创作者工作台,用户信息区,"5. 设置入口,P0,"
创作者工作台,用户信息区,"6. 退出登录按钮,P0,"
创作者工作台,等级徽章系统,"1. 青铜创作者（1-9单）- #cd7f32,P1,等级根据完成订单数自动计算；徽章颜色和文案正确"
创作者工作台,等级徽章系统,"2. 白银创作者（10-29单）- #c0c0c0,P1,"
创作者工作台,等级徽章系统,"3. 黄金创作者（30-99单）- #ffd700,P1,"
创作者工作台,等级徽章系统,"4. 铂金创作者（100单以上）- #e5e4e2,P1,"
创作者工作台,等级徽章系统,"5. 后端接口：GET /api/creators/level,P1,"
创作者工作台,创作者工作台埋点,"1. Tab切换埋点,P1,记录Tab使用情况；记录视频上传成功/失败；记录作品操作类型"
创作者工作台,创作者工作台埋点,"2. 视频上传埋点,P1,"
创作者工作台,创作者工作台埋点,"3. 重新上传埋点,P1,"
创作者工作台,创作者工作台埋点,"4. 作品集操作埋点,P1,"
创作者工作台,创作者工作台埋点,"5. 提现操作埋点,P1,"
创作者工作台,工作台异常处理,"1. 接口请求失败提示,P1,接口失败时显示toast；无任务时显示空状态图"
创作者工作台,工作台异常处理,"2. 操作失败提示,P1,"
创作者工作台,工作台异常处理,"3. 空状态展示,P1,"
创作者工作台,工作台异常处理,"4. 骨架屏loading,P1,"
创作者个人信息,个人信息完善引导,"1. 检测isProfileComplete字段,P0,首次登录时弹出弹窗；点击""立即完善""进入完善流程；点击""稍后再说""可浏览任务大厅"
创作者个人信息,个人信息完善引导,"2. 未完善时弹出引导弹窗,P0,"
创作者个人信息,个人信息完善引导,"3. 弹窗标题：""欢迎加入瑞豆！请先完善个人信息"",P0,"
创作者个人信息,个人信息完善引导,"4. 弹窗说明和按钮,P0,"
创作者个人信息,个人信息完善引导,"5. ""立即完善""跳转完善流程,P0,"
创作者个人信息,个人信息完善引导,"6. ""稍后再说""进入任务大厅,P0,"
创作者个人信息,个人信息完善引导,"7. 后端接口：GET /api/creators/profile,P0,"
创作者个人信息,强制完善检查,"1. 点击""立即抢单""时检查isProfileComplete,P0,未完善时点击抢单弹出强制提示；点击""立即完善""跳转完善页面"
创作者个人信息,强制完善检查,"2. 未完善时强制提示,P0,"
创作者个人信息,强制完善检查,"3. 提示文案：""接单前请先完善个人信息，这样才能让广告主更好地了解您"",P0,"
创作者个人信息,强制完善检查,"4. 只有""立即完善""按钮,P0,"
创作者个人信息,强制完善检查,"5. 强制跳转完善流程,P0,"
创作者个人信息,技能选择页,"1. 步骤1：技能选择,P0,技能列表正确展示；多选功能正常；至少选择1项才能下一步；底部提示实时更新"
创作者个人信息,技能选择页,"2. 技能分类列表（网站IT、写作、设计、数据分析、销售等）,P0,"
创作者个人信息,技能选择页,"3. 多选复选框,P0,"
创作者个人信息,技能选择页,"4. 每个技能显示职位数量,P0,"
创作者个人信息,技能选择页,"5. 底部提示：""20项技能中仅选出1项 已选择X项技能"",P0,"
创作者个人信息,技能选择页,"6. 验证：至少选择1项,P0,"
创作者个人信息,技能选择页,"7. ""下一步""按钮,P0,"
创作者个人信息,技能选择页,"8. ""上一步""按钮（隐藏）,P0,"
创作者个人信息,姓名填写页,"1. 步骤2：姓名填写,P0,姓和名都必填；超过50字符时提示；上一步返回技能选择页"
创作者个人信息,姓名填写页,"2. ""名""(First Name)输入框[必填],P0,"
创作者个人信息,姓名填写页,"3. ""姓""(Last Name)输入框[必填],P0,"
创作者个人信息,姓名填写页,"4. 验证：1-50个字符,P0,"
创作者个人信息,姓名填写页,"5. 示例提示,P0,"
创作者个人信息,姓名填写页,"6. ""上一步""/""下一步""按钮,P0,"
创作者个人信息,自我描述页,"1. 步骤3：自我描述,P0,两个字段都必填；超过字数限制时提示；字数统计实时更新"
创作者个人信息,自我描述页,"2. ""你做什么工作？""输入框[必填，最多100字],P0,"
创作者个人信息,自我描述页,"3. ""请描述一下你自己""输入框[必填，最多500字],P0,"
创作者个人信息,自我描述页,"4. 字数统计,P0,"
创作者个人信息,自我描述页,"5. 示例提示,P0,"
创作者个人信息,自我描述页,"6. ""上一步""/""下一步""按钮,P0,"
创作者个人信息,语言与生日页,"1. 步骤4：语言与生日,P0,语言至少选择1项；年龄不满16岁时提示错误；点击完成提交数据"
创作者个人信息,语言与生日页,"2. ""你会说哪些语言？""多选下拉框,P0,"
创作者个人信息,语言与生日页,"3. 选项：中文、英语、日语、韩语等,P0,"
创作者个人信息,语言与生日页,"4. 默认勾选""中文""[必填，至少一项],P0,"
创作者个人信息,语言与生日页,"5. ""你什么时候出生？""日期选择器,P0,"
创作者个人信息,语言与生日页,"6. 验证：必须年满16周岁,P0,"
创作者个人信息,语言与生日页,"7. 错误提示：""您必须年满16周岁才能使用瑞豆平台"",P0,"
创作者个人信息,语言与生日页,"8. ""上一步""/""完成""按钮,P0,"
创作者个人信息,提交个人信息,"1. 前端验证所有必填字段,P0,所有字段验证通过后提交；提交成功后显示成功提示；自动跳转任务大厅"
创作者个人信息,提交个人信息,"2. 提交到后端保存,P0,"
创作者个人信息,提交个人信息,"3. 创建/更新CreatorProfile记录,P0,"
创作者个人信息,提交个人信息,"4. 设置isProfileComplete=true,P0,"
创作者个人信息,提交个人信息,"5. 记录completedAt时间,P0,"
创作者个人信息,提交个人信息,"6. 成功提示：""个人信息已完善，现在可以去接单啦！"",P0,"
创作者个人信息,提交个人信息,"7. 自动跳转到任务大厅,P0,"
创作者个人信息,提交个人信息,"8. 后端接口：POST /api/creators/profile,P0,"
创作者个人信息,步骤进度指示器,"1. 进度条组件,P1,进度条正确显示当前步骤；步骤切换时进度条更新"
创作者个人信息,步骤进度指示器,"2. 显示当前步骤（1/4、2/4等）,P1,"
创作者个人信息,步骤进度指示器,"3. 已完成步骤高亮,P1,"
创作者个人信息,步骤进度指示器,"4. 当前步骤激活,P1,"
创作者个人信息,步骤进度指示器,"5. 未完成步骤灰色,P1,"
创作者个人信息,数据暂存,"1. 每步数据暂存到localStorage,P1,每步数据自动暂存；下次打开时恢复已填写内容"
创作者个人信息,数据暂存,"2. 下次打开时恢复,P1,"
创作者个人信息,数据暂存,"3. 提交后清除暂存,P1,"
创作者个人信息,数据暂存,"4. 返回时恢复暂存数据,P1,"
创作者个人信息,个人信息埋点,"1. 开始完善时间,P1,记录完善流程开始和完成时间；记录每步停留时长"
创作者个人信息,个人信息埋点,"2. 完成时间,P1,"
创作者个人信息,个人信息埋点,"3. 每步停留时长,P1,"
创作者个人信息,个人信息埋点,"4. 选择的技能,P1,"
创作者个人信息,个人信息埋点,"5. 完成率统计,P1,"
创作者个人信息,个人信息异常处理,"1. 接口提交失败提示,P1,接口失败时显示""保存失败，请重试""；离开页面时提示""个人信息尚未完善，确定离开吗？"""
创作者个人信息,个人信息异常处理,"2. 数据暂存失败处理,P1,"
创作者个人信息,个人信息异常处理,"3. 离开页面提示,P1,"
创作者个人信息,个人信息异常处理,"4. 验证失败提示,P1,"
创作者列表,页面布局,"1. 顶部标题区,P0,布局清晰；网格响应式适配"
创作者列表,页面布局,"2. 筛选条件区（等级/行业/平台等）,P0,"
创作者列表,页面布局,"3. 排序工具条,P0,"
创作者列表,页面布局,"4. 创作者卡片网格,P0,"
创作者列表,页面布局,"5. 分页器,P0,"
创作者列表,筛选功能,"1. 等级筛选（青铜/白银/黄金/铂金）,P0,多个筛选条件可叠加；筛选后列表更新"
创作者列表,筛选功能,"2. 行业筛选,P0,"
创作者列表,筛选功能,"3. 平台筛选,P0,"
创作者列表,筛选功能,"4. 多条件组合,P0,"
创作者列表,筛选功能,"5. 后端接口：GET /api/creators?level=xxx&industry=xxx,P0,"
创作者列表,排序功能,"1. 排序下拉（评分最高/完成订单最多/最新加入）,P0,切换排序后列表按新规则展示"
创作者列表,排序功能,"2. 排序参数传递,P0,"
创作者列表,排序功能,"3. 后端接口：GET /api/creators?sort=xxx,P0,"
创作者列表,创作者卡片,"1. 头像+名称,P0,卡片信息正确展示；点击跳转详情页"
创作者列表,创作者卡片,"2. 一句话简介,P0,"
创作者列表,创作者卡片,"3. 等级徽章,P0,"
创作者列表,创作者卡片,"4. 评分,P0,"
创作者列表,创作者卡片,"5. 完成订单数,P0,"
创作者列表,创作者卡片,"6. ""查看详情""按钮,P0,"
创作者列表,创作者卡片,"7. 点击跳转详情页,P0,"
创作者列表,创作者卡片,"8. 后端接口：GET /api/creators,P0,"
创作者列表,分页功能,"1. 分页组件,P0,分页切换正常；页码正确更新"
创作者列表,分页功能,"2. 上一页/下一页按钮,P0,"
创作者列表,分页功能,"3. 页码展示,P0,"
创作者列表,分页功能,"4. 后端接口：GET /api/creators?page=1&limit=20,P0,"
创作者列表,空状态处理,"1. 空状态插图,P1,无创作者时显示空状态图"
创作者列表,空状态处理,"2. ""暂无创作者""提示,P1,"
创作者详情,页面布局,"1. 面包屑导航,P0,面包屑正确导航；布局响应式适配"
创作者详情,页面布局,"2. 创作者头部信息区,P0,"
创作者详情,页面布局,"3. 关键指标概览,P0,"
创作者详情,页面布局,"4. 详细简介,P0,"
创作者详情,页面布局,"5. 技能展示区,P0,"
创作者详情,页面布局,"6. 创作者任务列表,P0,"
创作者详情,页面布局,"7. 客户评价模块,P0,"
创作者详情,页面布局,"8. 响应式布局,P0,"
创作者详情,头部信息区,"1. 头像（大尺寸圆形）,P0,所有信息正确展示"
创作者详情,头部信息区,"2. 创作者名称,P0,"
创作者详情,头部信息区,"3. 一句话简介,P0,"
创作者详情,头部信息区,"4. 所在地,P0,"
创作者详情,头部信息区,"5. 加入时间,P0,"
创作者详情,头部信息区,"6. 后端接口：GET /api/creators/:id,P0,"
创作者详情,关键指标,"1. 总体评分（4.9）,P0,指标正确展示；等级徽章根据订单数显示"
创作者详情,关键指标,"2. 评价数量,P0,"
创作者详情,关键指标,"3. 完成素材任务数,P0,"
创作者详情,关键指标,"4. 等级徽章,P0,"
创作者详情,关键指标,"5. 后端接口：GET /api/creators/:id/stats,P0,"
创作者详情,详细简介,"1. ""关于我""区块,P0,简介内容正确展示；富文本正常渲染"
创作者详情,详细简介,"2. 富文本内容,P0,"
创作者详情,详细简介,"3. 团队背景、擅长行业等,P0,"
创作者详情,详细简介,"4. 后端接口：GET /api/creators/:id,P0,"
创作者详情,技能展示,"1. ""技能""区块,P0,技能标签正确展示"
创作者详情,技能展示,"2. 技能标签列表,P0,"
创作者详情,技能展示,"3. 后端接口：GET /api/creators/:id/skills,P0,"
创作者详情,我的客户,"1. ""我的客户""区块,P1,客户信息正确展示"
创作者详情,我的客户,"2. 客户logo/名称,P1,"
创作者详情,我的客户,"3. 后端接口：GET /api/creators/:id/clients,P1,"
创作者详情,创作者任务列表,"1. ""我的素材任务""区块,P0,任务列表正确展示；点击跳转任务详情页"
创作者详情,创作者任务列表,"2. 任务卡片网格,P0,"
创作者详情,创作者任务列表,"3. 任务信息（标题/平台/价格/评分等）,P0,"
创作者详情,创作者任务列表,"4. 点击跳转任务详情,P0,"
创作者详情,创作者任务列表,"5. 后端接口：GET /api/creators/:id/orders,P0,"
创作者详情,客户评价模块,"1. 评价列表,P1,评价列表正确展示；星级正确渲染"
创作者详情,客户评价模块,"2. 评价星级,P1,"
创作者详情,客户评价模块,"3. 评价内容,P1,"
创作者详情,客户评价模块,"4. 评价时间,P1,"
创作者详情,客户评价模块,"5. 后端接口：GET /api/creators/:id/reviews,P1,"
创作者详情,空状态处理,"1. 创作者不存在404,P1,创作者不存在显示404；无任务时显示""该创作者暂无任务"""
创作者详情,空状态处理,"2. 无任务时空状态,P1,"
创作者详情,空状态处理,"3. 无评价时空状态,P1,"
创作者列表,创作者模块埋点,"1. 列表筛选埋点,P1,记录筛选条件；记录详情页访问；记录任务点击"
创作者列表,创作者模块埋点,"2. 创作者卡片点击埋点,P1,"
创作者列表,创作者模块埋点,"3. 详情页访问埋点,P1,"
创作者列表,创作者模块埋点,"4. 任务点击埋点,P1,"
创作者列表,创作者模块异常,"1. 接口请求失败提示,P1,接口失败时显示toast；loading显示骨架屏"
创作者列表,创作者模块异常,"2. 骨架屏loading,P1,"
创作者列表,创作者模块异常,"3. 空状态展示,P1,"
视频审核,全屏视频审核页,"1. 全屏布局（无Navbar和Footer）,P0,全屏展示；视频居中播放；Tab切换视频"
视频审核,全屏视频审核页,"2. 视频播放器（大尺寸居中）,P0,"
视频审核,全屏视频审核页,"3. 视频切换Tab（高光/水印版/高清版）,P0,"
视频审核,全屏视频审核页,"4. 操作按钮区,P0,"
视频审核,全屏视频审核页,"5. 订单信息卡片,P0,"
视频审核,全屏视频审核页,"6. 响应式布局,P0,"
视频审核,视频播放器,"1. HTML5 Video Player,P0,视频正常播放；所有控制功能可用"
视频审核,视频播放器,"2. 播放/暂停控制,P0,"
视频审核,视频播放器,"3. 音量控制,P0,"
视频审核,视频播放器,"4. 全屏切换,P0,"
视频审核,视频播放器,"5. 进度条拖拽,P0,"
视频审核,视频播放器,"6. 播放速度调节,P0,"
视频审核,视频播放器,"7. 视频信息展示（时长/分辨率等）,P0,"
视频审核,视频切换Tab,"1. 3个Tab：高光时刻/水印版/高清完整版,P0,Tab切换视频；高清版未交付时提示""交付后可查看"""
视频审核,视频切换Tab,"2. Tab切换,P0,"
视频审核,视频切换Tab,"3. 选中状态样式,P0,"
视频审核,视频切换Tab,"4. 高清版权限控制（交付后才可查看）,P0,"
视频审核,视频切换Tab,"5. 无权限提示,P0,"
视频审核,订单信息卡片,"1. 订单标题,P0,订单信息正确展示"
视频审核,订单信息卡片,"2. 广告主信息,P0,"
视频审核,订单信息卡片,"3. 创作者信息,P0,"
视频审核,订单信息卡片,"4. 任务参数,P0,"
视频审核,订单信息卡片,"5. 后端接口：GET /api/bids/:id,P0,"
视频审核,审核操作区,"1. ""确认通过""按钮,P0,所有操作按钮正确执行；确认弹窗正确显示"
视频审核,审核操作区,"2. ""修改""按钮+修改意见输入,P0,"
视频审核,审核操作区,"3. ""订单冻结""按钮+冻结原因输入,P0,"
视频审核,审核操作区,"4. 返回按钮,P0,"
视频审核,审核操作区,"5. 确认弹窗,P0,"
视频审核,审核操作区,"6. 后端接口：POST /api/bids/:id/approve、POST /api/bids/:id/request-change、POST /api/bids/:id/freeze,P0,"
视频审核,修改意见输入,"1. Textarea组件,P0,超过500字时提示；字数统计实时更新"
视频审核,修改意见输入,"2. 最多500字限制,P0,"
视频审核,修改意见输入,"3. 字数统计,P0,"
视频审核,修改意见输入,"4. 提示文案,P0,"
视频审核,冻结原因输入,"1. Textarea组件,P0,冻结原因为空时提示""请输入冻结原因"""
视频审核,冻结原因输入,"2. 必填验证,P0,"
视频审核,冻结原因输入,"3. 字数限制,P0,"
视频审核,冻结原因输入,"4. 提示文案,P0,"
视频审核,视频加载优化,"1. 视频预加载,P1,视频快速加载；加载失败时提示"
视频审核,视频加载优化,"2. 加载状态展示,P1,"
视频审核,视频加载优化,"3. 加载失败提示,P1,"
视频审核,视频加载优化,"4. 断点续传（可选）,P1,"
视频审核,余额不足提示,"1. 确认通过前检查余额,P0,余额不足时显示""账户余额不足，请先充值""；阻止确认通过"
视频审核,余额不足提示,"2. 余额不足时弹窗提示,P0,"
视频审核,余额不足提示,"3. 充值引导,P0,"
视频审核,键盘快捷键,"1. 空格键播放/暂停,P1,快捷键功能正常"
视频审核,键盘快捷键,"2. ESC键退出全屏,P1,"
视频审核,键盘快捷键,"3. 左右方向键快进/快退,P1,"
视频审核,视频审核埋点,"1. 页面访问埋点,P1,记录视频播放时长；记录审核操作类型"
视频审核,视频审核埋点,"2. 视频播放时长埋点,P1,"
视频审核,视频审核埋点,"3. 审核操作埋点,P1,"
视频审核,视频审核埋点,"4. 视频切换埋点,P1,"
视频审核,视频审核异常,"1. 视频加载失败提示,P1,视频加载失败时显示""视频加载失败，请重试"""
视频审核,视频审核异常,"2. 接口请求失败提示,P1,"
视频审核,视频审核异常,"3. 网络异常重试,P1,"
消息中心,页面布局,"1. 消息列表,P1,布局清晰；筛选功能正常"
消息中心,页面布局,"2. 消息详情（可选）,P1,"
消息中心,页面布局,"3. 已读/未读筛选,P1,"
消息中心,页面布局,"4. 消息类型筛选,P1,"
消息中心,页面布局,"5. 批量操作（全部已读/删除）,P1,"
消息中心,页面布局,"6. 后端接口：GET /api/messages,P1,"
消息中心,消息列表,"1. 消息卡片组件,P1,消息列表正确展示；未读消息高亮；点击标记已读"
消息中心,消息列表,"2. 消息类型图标,P1,"
消息中心,消息列表,"3. 消息标题+内容,P1,"
消息中心,消息列表,"4. 发送时间,P1,"
消息中心,消息列表,"5. 已读/未读状态标识,P1,"
消息中心,消息列表,"6. 点击标记已读,P1,"
消息中心,消息列表,"7. 后端接口：GET /api/messages,P1,"
消息中心,消息类型,"1. 系统通知,P1,消息类型正确标识；图标和颜色正确"
消息中心,消息类型,"2. 投标通知,P1,"
消息中心,消息类型,"3. 审核通知,P1,"
消息中心,消息类型,"4. 修改通知,P1,"
消息中心,消息类型,"5. 付款通知,P1,"
消息中心,消息类型,"6. 类型图标+颜色区分,P1,"
消息中心,筛选功能,"1. 已读/未读筛选,P1,筛选条件生效；列表更新"
消息中心,筛选功能,"2. 消息类型筛选,P1,"
消息中心,筛选功能,"3. 时间范围筛选,P1,"
消息中心,筛选功能,"4. 后端接口：GET /api/messages?status=unread&type=xxx,P1,"
消息中心,批量操作,"1. 全部标记已读按钮,P1,全部标记已读后状态更新；批量删除后移除"
消息中心,批量操作,"2. 批量删除按钮,P1,"
消息中心,批量操作,"3. 选择框（可选）,P1,"
消息中心,批量操作,"4. 确认弹窗,P1,"
消息中心,批量操作,"5. 后端接口：PUT /api/messages/read-all、DELETE /api/messages/batch,P1,"
消息中心,消息详情,"1. 点击消息展开详情,P1,点击展开详情；相关操作按钮正确跳转"
消息中心,消息详情,"2. 完整消息内容,P1,"
消息中心,消息详情,"3. 相关操作按钮（跳转到相关页面）,P1,"
消息中心,消息详情,"4. 关闭按钮,P1,"
消息中心,徽章提示,"1. 导航栏消息图标,P1,未读数量正确显示；实时更新"
消息中心,徽章提示,"2. 未读数量徽章,P1,"
消息中心,徽章提示,"3. 实时更新,P1,"
消息中心,徽章提示,"4. 点击跳转消息中心,P1,"
消息中心,徽章提示,"5. 后端接口：GET /api/messages/unread-count,P1,"
消息中心,消息中心埋点,"1. 消息点击埋点,P1,记录消息点击和操作"
消息中心,消息中心埋点,"2. 消息已读埋点,P1,"
消息中心,消息中心埋点,"3. 消息删除埋点,P1,"
消息中心,消息中心异常,"1. 接口请求失败提示,P1,接口失败时显示toast；无消息时显示空状态图"
消息中心,消息中心异常,"2. 空状态展示,P1,"
管理后台,管理员登录,"1. 登录页面（/admin/login）,P0,登录成功后跳转/admin；存储admin token"
管理后台,管理员登录,"2. 用户名+密码输入,P0,"
管理后台,管理员登录,"3. 表单验证,P0,"
管理后台,管理员登录,"4. 后端接口：POST /api/admin/login,P0,"
管理后台,后台布局,"1. 左侧导航栏,P0,导航栏固定；响应式适配"
管理后台,后台布局,"2. 顶部用户信息区,P0,"
管理后台,后台布局,"3. 主内容区,P0,"
管理后台,后台布局,"4. 侧边栏收起/展开,P0,"
管理后台,后台布局,"5. 响应式布局,P0,"
管理后台,导航菜单,"1. 数据概览,P0,菜单正确跳转；当前页菜单高亮"
管理后台,导航菜单,"2. 订单管理,P0,"
管理后台,导航菜单,"3. 用户管理,P0,"
管理后台,导航菜单,"4. 创作者管理,P0,"
管理后台,导航菜单,"5. 审核管理,P0,"
管理后台,导航菜单,"6. 内容管理,P0,"
管理后台,导航菜单,"7. 系统设置,P0,"
管理后台,导航菜单,"8. 菜单高亮,P0,"
管理后台,数据概览页,"1. 统计卡片（总订单数/总用户数/总创作者数/总交易额）,P0,统计数据正确；图表正常渲染"
管理后台,数据概览页,"2. 图表展示（订单趋势/用户增长）,P0,"
管理后台,数据概览页,"3. 实时数据更新,P0,"
管理后台,数据概览页,"4. 后端接口：GET /api/admin/stats,P0,"
管理后台,订单管理页,"1. 订单列表,P0,订单列表正确展示；审核操作生效"
管理后台,订单管理页,"2. 筛选条件（状态/平台/时间范围）,P0,"
管理后台,订单管理页,"3. 搜索功能,P0,"
管理后台,订单管理页,"4. 订单详情查看,P0,"
管理后台,订单管理页,"5. 审核操作（通过/驳回）,P0,"
管理后台,订单管理页,"6. 后端接口：GET /api/admin/orders、PUT /api/admin/orders/:id/review,P0,"
管理后台,用户管理页,"1. 广告主用户列表,P0,用户列表正确展示；状态管理生效"
管理后台,用户管理页,"2. 筛选搜索,P0,"
管理后台,用户管理页,"3. 用户详情查看,P0,"
管理后台,用户管理页,"4. 用户状态管理（启用/禁用）,P0,"
管理后台,用户管理页,"5. 后端接口：GET /api/admin/users,P0,"
管理后台,创作者管理页,"1. 创作者列表,P0,创作者列表正确展示；等级管理生效"
管理后台,创作者管理页,"2. 筛选搜索,P0,"
管理后台,创作者管理页,"3. 创作者详情查看,P0,"
管理后台,创作者管理页,"4. 创作者等级管理,P0,"
管理后台,创作者管理页,"5. 后端接口：GET /api/admin/creators,P0,"
管理后台,审核管理页,"1. 待审核订单列表,P0,待审核列表正确展示；审核操作生效"
管理后台,审核管理页,"2. 订单详情查看,P0,"
管理后台,审核管理页,"3. 审核操作（通过/驳回）,P0,"
管理后台,审核管理页,"4. 驳回原因输入,P0,"
管理后台,审核管理页,"5. 后端接口：GET /api/admin/reviews,P0,"
管理后台,内容管理页,"1. 视频审核列表,P1,视频列表正确展示；审核操作生效"
管理后台,内容管理页,"2. 视频播放查看,P1,"
管理后台,内容管理页,"3. 内容审核操作,P1,"
管理后台,内容管理页,"4. 后端接口：GET /api/admin/content,P1,"
管理后台,系统设置页,"1. 平台配置表单,P1,配置正确保存；设置生效"
管理后台,系统设置页,"2. 支付配置,P1,"
管理后台,系统设置页,"3. 消息模板配置,P1,"
管理后台,系统设置页,"4. 保存设置,P1,"
管理后台,系统设置页,"5. 后端接口：GET /api/admin/settings、PUT /api/admin/settings,P1,"
管理后台,权限控制,"1. 管理员权限验证,P0,未登录跳转登录页；非管理员显示403"
管理后台,权限控制,"2. 未登录跳转/admin/login,P0,"
管理后台,权限控制,"3. 非管理员403,P0,"
管理后台,权限控制,"4. 后端接口：GET /api/admin/verify,P0,"
管理后台,数据导出,"1. 订单数据导出,P1,导出功能正常；Excel格式正确"
管理后台,数据导出,"2. 用户数据导出,P1,"
管理后台,数据导出,"3. Excel格式,P1,"
管理后台,数据导出,"4. 后端接口：GET /api/admin/export/orders,P1,"
管理后台,管理后台埋点,"1. 页面访问埋点,P1,记录管理员操作"
管理后台,管理后台埋点,"2. 审核操作埋点,P1,"
管理后台,管理后台埋点,"3. 数据导出埋点,P1,"
管理后台,管理后台异常,"1. 接口请求失败提示,P1,接口失败时显示toast；权限不足显示403"
管理后台,管理后台异常,"2. 权限不足提示,P1,"
管理后台,管理后台异常,"3. 空状态展示,P1,"
全局组件,Navbar导航栏,"1. Logo展示,P0,滚动时背景变化；移动端菜单可展开；徽章显示未读数"
全局组件,Navbar导航栏,"2. 导航菜单（探索/订单/登录/工作台）,P0,"
全局组件,Navbar导航栏,"3. 滚动时背景变色,P0,"
全局组件,Navbar导航栏,"4. 响应式菜单（移动端）,P0,"
全局组件,Navbar导航栏,"5. 用户信息展示（已登录）,P0,"
全局组件,Navbar导航栏,"6. 未读消息徽章,P0,"
全局组件,Footer页脚,"1. 快捷链接,P0,链接正确跳转；信息正确展示"
全局组件,Footer页脚,"2. 公司信息,P0,"
全局组件,Footer页脚,"3. 备案号,P0,"
全局组件,Footer页脚,"4. 版权信息,P0,"
全局组件,Footer页脚,"5. 社交媒体链接,P0,"
全局组件,Toast提示组件,"1. 成功/失败/警告/信息类型,P0,提示正确显示；自动消失"
全局组件,Toast提示组件,"2. 自动消失（3秒）,P0,"
全局组件,Toast提示组件,"3. 手动关闭,P0,"
全局组件,Toast提示组件,"4. 位置配置,P0,"
全局组件,Toast提示组件,"5. 全局调用,P0,"
全局组件,Dialog弹窗组件,"1. 标题+内容+按钮,P0,弹窗正确显示；关闭功能正常"
全局组件,Dialog弹窗组件,"2. 遮罩层,P0,"
全局组件,Dialog弹窗组件,"3. 点击遮罩关闭,P0,"
全局组件,Dialog弹窗组件,"4. ESC关闭,P0,"
全局组件,Dialog弹窗组件,"5. 全局调用,P0,"
全局组件,Loading组件,"1. Spinner动画,P0,加载动画正常；文案可配置"
全局组件,Loading组件,"2. 全屏加载,P0,"
